Industry,Packaging_Material,Material_Type,Packaged_Item,Strength,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Packaging_Cost_INR,Strength_Encoded,CO2_Impact_Index,Cost_per_kg,Cost_Efficiency_Index,Material_Suitability_Score,Log_Packaging_Cost,Sustainability_Tier
Toys,Pla Bioplastic,Bioplastic,Chess Set,Medium,7.88,82,24,71,62.79,2,79.0,7.9683,83.401,75.634,4.1556,Excellent
Toys,Kraft Paper,Paper,Jigsaw Puzzle,Medium,14.78,64,47,84,1.71,2,58.5,0.1157,99.759,76.823,0.9969,Excellent
Electronics,Corn Starch Foam,Bioplastic,Smart Watch,Low,3.1,84,23,74,64.44,1,80.5,20.7871,56.697,63.491,4.1811,Good
Automotive,Molded Pulp,Paper,Cleaning Spray,Medium,10.52,75,36,95,3.71,2,69.5,0.3527,99.265,82.75,1.5497,Excellent
Construction,Kraft Paper,Paper,Putty,Medium,12.85,67,48,87,4.51,2,59.5,0.351,99.269,77.751,1.7066,Excellent
Food,Stone Paper,Paper,Rice,Medium,10.78,59,47,89,15.17,2,56.0,1.4072,97.069,76.651,2.7832,Excellent
Toys,Corrugated Cardboard,Cardboard,Frisbee,High,48.47,72,42,92,52.78,3,65.0,1.0889,97.732,86.933,3.9849,Excellent
Construction,Jute Sack,Natural Fiber,Tile Cleaner,High,27.97,86,19,85,29.73,3,83.5,1.0629,97.786,90.746,3.4252,Excellent
Toys,Corrugated Cardboard,Cardboard,Frisbee,High,49.69,71,38,87,20.36,3,66.5,0.4097,99.147,86.487,3.0615,Excellent
Toys,Bamboo Container,Natural Fiber,Board Games,High,15.57,90,22,80,59.95,3,84.0,3.8504,91.979,88.195,4.1101,Excellent
Food,Rice Husk Tray,Agricultural Waste,Salt,Medium,5.42,87,23,85,1.02,2,82.0,0.1882,99.608,84.085,0.7031,Excellent
Healthcare,Kraft Paper,Paper,Bandages,Medium,15.53,66,44,83,24.88,2,61.0,1.6021,96.663,76.549,3.2535,Excellent
Cosmetics,Cork Packaging,Natural Material,Foot Cream,Medium,9.25,87,19,86,99.29,2,84.0,10.7341,77.639,79.443,4.6081,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Juicer,Medium,7.7,87,22,82,36.08,2,82.5,4.6857,90.239,81.143,3.6131,Excellent
Textiles,Recycled Kraft Paper,Paper,Socks,Medium,14.35,68,38,87,3.34,2,65.0,0.2328,99.515,79.462,1.4679,Excellent
Toys,Sbs Board,Cardboard,Chess Set,Medium,16.45,63,45,90,56.02,2,59.0,3.4055,92.906,76.76,4.0434,Excellent
Cosmetics,Recycled Glass Jar,Recycled Glass,Moisturizer,High,22.3,38,49,99,82.45,3,44.5,3.6973,92.298,81.174,4.4242,Excellent
Cosmetics,Sbs Board,Cardboard,Body Butter,Medium,17.81,69,42,90,2.93,2,63.5,0.1645,99.657,79.798,1.3686,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Tv Unit,High,44.9,71,38,89,2.18,3,66.5,0.0486,99.899,87.175,1.1569,Excellent
Toys,Sbs Board,Cardboard,Dolls,Medium,16.87,64,42,89,46.66,2,61.0,2.7659,94.238,77.443,3.8641,Excellent
Textiles,Recycled Kraft Paper,Paper,Fabric Rolls,Medium,13.55,72,35,86,7.41,2,68.5,0.5469,98.861,80.099,2.1294,Excellent
Toys,Recycled Cardboard Box,Recycled Cardboard,Dolls,High,49.02,74,36,90,3.5,3,69.0,0.0714,99.851,88.163,1.5041,Excellent
Furniture,Jute Sack,Natural Fiber,Tv Unit,High,26.81,90,24,88,49.99,3,83.0,1.8646,96.116,90.929,3.9316,Excellent
Furniture,Wood Wool Cushioning,Natural Fiber,Computer Desk,Low,7.85,87,26,91,70.51,1,80.5,8.9822,81.289,73.889,4.2698,Good
Healthcare,Recycled Glass Jar,Recycled Glass,Bandages,High,21.08,37,52,98,63.08,3,42.5,2.9924,93.766,80.692,4.1601,Excellent
Construction,Recycled Cardboard Box,Recycled Cardboard,Paint,High,49.55,72,35,91,19.96,3,68.5,0.4028,99.161,88.09,3.0426,Excellent
Automotive,Jute Sack,Natural Fiber,Car Wax,High,23.66,88,22,90,30.72,3,83.0,1.2984,97.295,91.724,3.4569,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Juicer,High,49.84,68,38,93,3.98,3,65.0,0.0799,99.834,87.708,1.6054,Excellent
Home Appliances,Wood Wool Cushioning,Natural Fiber,Water Purifier,Low,7.03,86,24,86,20.09,1,81.0,2.8578,94.047,75.978,3.0488,Excellent
Cosmetics,Cork Packaging,Natural Material,Eye Shadow,Medium,10.39,87,21,83,88.78,2,83.0,8.5448,82.2,79.533,4.4974,Excellent
Automotive,Molded Pulp,Paper,Brake Fluid,Medium,11.39,81,34,94,20.64,2,73.5,1.8121,96.225,82.94,3.0745,Excellent
Cosmetics,Recycled Cardboard Box,Recycled Cardboard,Sunscreen,High,42.5,72,41,95,47.6,3,65.5,1.12,97.667,87.817,3.8836,Excellent
Automotive,Tin Container,Metal,Exhaust Gasket,High,13.29,20,72,98,80.57,3,24.0,6.0625,87.371,73.543,4.4015,Good
Automotive,Steel Can,Metal,Car Wax,High,17.53,16,77,96,8.09,3,19.5,0.4615,99.039,74.61,2.2072,Good
Food,Cassava Bag,Bioplastic,Honey,Low,2.88,95,15,92,4.59,1,90.0,1.5938,96.68,80.837,1.721,Excellent
Healthcare,Molded Pulp,Paper,Ayurvedic Oil,Medium,10.43,75,34,93,14.87,2,70.5,1.4257,97.03,81.991,2.7644,Excellent
Automotive,Molded Pulp,Paper,Brake Pads,Medium,9.41,75,32,90,14.11,2,71.5,1.4995,96.876,81.502,2.7154,Excellent
Textiles,Sbs Board,Cardboard,Kurta,Medium,15.44,65,45,88,8.44,2,60.0,0.5466,98.861,78.049,2.245,Excellent
Furniture,Jute Sack,Natural Fiber,Folding Table,High,24.25,87,20,86,10.75,3,83.5,0.4433,99.077,91.319,2.4639,Excellent
Textiles,Cotton Bag,Natural Fiber,Saree,Medium,9.58,86,24,85,17.66,2,81.0,1.8434,96.16,82.923,2.9264,Excellent
Construction,Corrugated Cardboard,Cardboard,Wood Polish,High,52.46,69,37,89,3.88,3,66.0,0.074,99.846,87.012,1.5851,Excellent
Healthcare,Recycled Glass Jar,Recycled Glass,First Aid Kit,High,20.69,37,53,98,33.46,3,42.0,1.6172,96.631,81.258,3.5398,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Ceiling Fan,High,43.14,73,40,91,20.7,3,66.5,0.4798,99.0,87.45,3.0773,Excellent
Textiles,Seed Paper,Paper,Socks,Low,4.48,92,11,91,0.99,1,90.5,0.221,99.54,81.452,0.6881,Excellent
Furniture,Jute Sack,Natural Fiber,Outdoor Furniture,High,22.34,87,21,85,13.16,3,83.0,0.5891,98.773,90.843,2.6504,Excellent
Automotive,Recycled Cardboard Box,Recycled Cardboard,Car Wax,High,46.87,71,38,92,0.95,3,66.5,0.0203,99.958,87.94,0.6678,Excellent
Cosmetics,Cotton Bag,Natural Fiber,Sunscreen,Medium,10.32,89,24,82,14.69,2,82.5,1.4234,97.035,82.842,2.753,Excellent
Furniture,Cork Packaging,Natural Material,Sofa,Medium,9.46,86,23,84,6.13,2,81.5,0.648,98.65,83.446,1.9643,Excellent
Food,Beeswax Wrap,Natural Wax,Coffee,Low,3.25,97,15,87,61.22,1,91.0,18.8369,60.76,70.907,4.1307,Good
Automotive,Tin Container,Metal,Timing Belt,High,13.96,21,75,98,49.23,3,23.0,3.5265,92.654,74.564,3.9166,Good
Cosmetics,Hemp Fiber Bag,Natural Fiber,Perfume,Medium,12.81,89,18,84,6.83,2,85.5,0.5332,98.889,84.706,2.058,Excellent
Healthcare,Glass Vial,Glass,Ointments,Medium,4.7,39,51,97,125.14,2,44.0,26.6255,44.535,61.917,4.8374,Good
Textiles,Kraft Paper,Paper,Linen Shirt,Medium,17.07,66,46,86,5.45,2,60.0,0.3193,99.335,77.667,1.8641,Excellent
Construction,Aluminum Can,Metal,Paint,High,8.62,22,73,98,39.24,3,24.5,4.5522,90.517,74.479,3.6949,Good
Cosmetics,Sbs Board,Cardboard,Face Mask,Medium,17.53,68,46,84,23.01,2,61.0,1.3126,97.266,76.95,3.1785,Excellent
Textiles,Recycled Cardboard Box,Recycled Cardboard,Underwear,High,48.17,69,38,94,1.36,3,65.5,0.0282,99.941,88.135,0.8587,Excellent
Home Appliances,Honeycomb Board,Cardboard,Pressure Cooker,High,38.06,69,36,91,19.58,3,66.5,0.5145,98.928,87.432,3.0243,Excellent
Cosmetics,Sbs Board,Cardboard,Lip Gloss,Medium,15.93,68,40,88,1.06,2,64.0,0.0665,99.861,79.499,0.7227,Excellent
Textiles,Sbs Board,Cardboard,Pillow Covers,Medium,17.28,63,44,86,11.95,2,59.5,0.6916,98.559,77.323,2.5611,Excellent
Food,Recycled Cardboard Box,Recycled Cardboard,Rice,High,42.44,70,35,91,8.58,3,67.5,0.2022,99.579,87.895,2.2597,Excellent
Automotive,Steel Can,Metal,Touch Up Paint,High,19.48,21,78,98,27.8,3,21.5,1.4271,97.027,75.207,3.3604,Excellent
Automotive,Tin Container,Metal,Tire Inflator,High,14.59,20,72,100,26.41,3,24.0,1.8101,96.229,76.257,3.3109,Excellent
Cosmetics,Cotton Bag,Natural Fiber,Deodorant,Medium,9.24,87,18,83,38.06,2,84.5,4.119,91.419,82.288,3.6651,Excellent
Food,Glass Jar,Glass,Beer,High,22.55,36,51,92,65.08,3,42.5,2.886,93.988,79.247,4.1909,Excellent
Electronics,Corn Starch Foam,Bioplastic,Mobile Phone,Low,3.03,84,21,71,7.13,1,81.5,2.3531,95.098,72.641,2.0956,Good
Toys,Pla Bioplastic,Bioplastic,Toy Cars,Medium,8.54,84,27,70,43.43,2,78.5,5.0855,89.406,76.735,3.7939,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Mixer Grinder,High,51.42,69,39,90,8.93,3,65.0,0.1737,99.638,86.91,2.2956,Excellent
Construction,Kraft Paper,Paper,Grout,Medium,15.91,64,47,84,12.73,2,58.5,0.8001,98.333,76.467,2.6196,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Calculator,High,49.28,72,36,95,5.62,3,68.0,0.114,99.763,89.091,1.8901,Excellent
Furniture,Molded Pulp,Paper,Mattress,Medium,11.48,75,35,89,22.14,2,70.0,1.9286,95.982,80.579,3.1416,Excellent
Healthcare,Kraft Paper,Paper,Vaccine,Medium,16.09,65,47,88,4.89,2,59.0,0.3039,99.367,77.875,1.7733,Excellent
Construction,Kraft Paper,Paper,Wood Polish,Medium,16.55,68,48,83,25.97,2,60.0,1.5692,96.731,76.266,3.2947,Excellent
Construction,Kraft Paper,Paper,Tile Adhesive,Medium,14.36,67,44,87,4.3,2,61.5,0.2994,99.376,78.377,1.6677,Excellent
Cosmetics,Recycled Glass Jar,Recycled Glass,Hair Oil,High,23.42,37,54,94,12.23,3,41.5,0.5222,98.912,80.678,2.5825,Excellent
Furniture,Jute Sack,Natural Fiber,Shoe Rack,High,23.87,86,19,85,14.97,3,83.5,0.6271,98.694,90.974,2.7707,Excellent
Electronics,Rice Husk Tray,Agricultural Waste,Solar Lamp,Medium,6.59,87,19,81,14.87,2,84.0,2.2564,95.3,82.608,2.7644,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Mattress,High,40.79,69,40,92,28.44,3,64.5,0.6972,98.548,86.987,3.3824,Excellent
Electronics,Hemp Fiber Bag,Natural Fiber,Mobile Phone,Medium,12.5,91,22,88,11.08,2,84.5,0.8864,98.153,85.222,2.4916,Excellent
Textiles,Sbs Board,Cardboard,Blankets,Medium,19.02,65,44,90,1.84,2,60.5,0.0967,99.799,78.933,1.0438,Excellent
Cosmetics,Duplex Board,Cardboard,Micellar Water,Medium,20.97,70,41,90,3.59,2,64.5,0.1712,99.643,80.094,1.5239,Excellent
Cosmetics,Pla Bioplastic,Bioplastic,Body Butter,Medium,8.11,85,22,70,61.18,2,81.5,7.5438,84.285,76.355,4.13,Excellent
Textiles,Cotton Bag,Natural Fiber,Pillow Covers,Medium,9.6,87,23,83,23.15,2,82.0,2.4115,94.976,82.427,3.1843,Excellent
Electronics,Molded Pulp,Paper,Cctv Camera,Medium,10.07,77,34,90,0.68,2,71.5,0.0675,99.859,82.248,0.5188,Excellent
Textiles,Cotton Bag,Natural Fiber,Saree,Medium,9.4,91,20,86,5.96,2,85.5,0.634,98.679,85.153,1.9402,Excellent
Textiles,Hemp Fiber Bag,Natural Fiber,Cotton T-Shirt,Medium,13.07,91,22,88,4.17,2,84.5,0.3191,99.335,85.517,1.6429,Excellent
Automotive,Recycled Cardboard Box,Recycled Cardboard,Tire Inflator,High,50.95,72,40,89,18.66,3,66.0,0.3662,99.237,86.859,2.9786,Excellent
Food,Corrugated Cardboard,Cardboard,Chili Powder,High,54.42,70,42,90,20.65,3,64.0,0.3795,99.209,86.502,3.075,Excellent
Automotive,Molded Pulp,Paper,Tire Inflator,Medium,10.22,79,32,92,27.56,2,73.5,2.6967,94.382,81.979,3.352,Excellent
Textiles,Recycled Cardboard Box,Recycled Cardboard,Embroidered Kurti,High,39.43,73,38,92,9.62,3,67.5,0.244,99.492,88.123,2.3627,Excellent
Healthcare,Glassine Paper,Paper,Face Masks,Low,5.51,62,51,84,11.42,1,55.5,2.0726,95.682,68.237,2.5193,Good
Cosmetics,Cotton Bag,Natural Fiber,Lipstick,Medium,10.87,88,18,87,38.99,2,85.0,3.5869,92.528,83.715,3.6886,Excellent
Food,Clear Glass Bottle,Glass,Salt,High,26.83,33,52,97,25.18,3,40.5,0.9385,98.045,80.911,3.265,Excellent
Food,Greaseproof Paper,Paper,Coffee,Low,7.3,59,54,85,2.49,1,52.5,0.3411,99.289,68.489,1.2499,Good
Healthcare,Recycled Cardboard Box,Recycled Cardboard,Vaccine,High,46.73,72,35,94,8.08,3,68.5,0.1729,99.64,88.96,2.2061,Excellent
Healthcare,Amber Glass Bottle,Glass,Antiseptic Cream,High,27.39,33,54,92,26.35,3,39.5,0.962,97.996,79.349,3.3087,Excellent
Cosmetics,Cork Packaging,Natural Material,Face Cream,Medium,9.6,87,24,87,105.27,2,81.5,10.9656,77.157,78.823,4.666,Excellent
Automotive,Steel Can,Metal,Exhaust Gasket,High,20.26,15,75,97,14.62,3,20.0,0.7216,98.497,74.874,2.7486,Good
Food,Wheat Straw Pulp Box,Agricultural Waste,Vinegar,Medium,7.89,88,21,82,3.5,2,83.5,0.4436,99.076,83.652,1.5041,Excellent
Healthcare,Recycled Cardboard Box,Recycled Cardboard,Pain Relief Gel,High,45.87,70,40,92,1.12,3,65.0,0.0244,99.949,87.487,0.7514,Excellent
Automotive,Honeycomb Board,Cardboard,Engine Oil,High,44.75,69,41,90,33.11,3,64.0,0.7399,98.459,86.315,3.5296,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Electric Kettle,Medium,6.71,91,19,86,37.34,2,86.0,5.5648,88.408,82.735,3.6465,Excellent
Toys,Recycled Cardboard Box,Recycled Cardboard,Wooden Blocks,High,42.97,69,38,90,4.51,3,65.5,0.105,99.781,87.095,1.7066,Excellent
Furniture,Honeycomb Board,Cardboard,Outdoor Furniture,High,34.17,74,40,89,7.98,3,67.0,0.2335,99.514,87.228,2.195,Excellent
Electronics,Corrugated Cardboard,Cardboard,Mouse,High,45.09,73,42,91,59.93,3,65.5,1.3291,97.231,86.708,4.1097,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Extension Cord,High,47.83,69,39,95,19.17,3,65.0,0.4008,99.165,88.041,3.0042,Excellent
Electronics,Corrugated Cardboard,Cardboard,Laptop,High,43.36,73,40,88,14.77,3,66.5,0.3406,99.29,86.773,2.7581,Excellent
Healthcare,Pha Bioplastic,Bioplastic,Pain Relief Gel,Medium,7.58,88,21,71,15.23,2,83.5,2.0092,95.815,80.087,2.7869,Excellent
Toys,Molded Pulp,Paper,Basket Ball,Medium,10.64,75,36,89,6.19,2,69.5,0.5818,98.788,81.13,1.9727,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Hand Blender,High,43.37,70,40,89,19.34,3,65.0,0.4459,99.071,86.518,3.0126,Excellent
Healthcare,Glass Vial,Glass,Cotton Swabs,Medium,5.24,43,53,95,30.73,2,45.0,5.8645,87.783,72.529,3.4573,Good
Home Appliances,Molded Pulp,Paper,Air Purifier,Medium,9.83,81,38,89,13.92,2,71.5,1.4161,97.05,81.296,2.7027,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Sandwich Maker,High,39.64,73,36,91,0.82,3,68.5,0.0207,99.957,88.289,0.5988,Excellent
Toys,Rpet Tray,Recycled Plastic,Dolls,Medium,10.71,14,73,80,42.41,2,20.5,3.9599,91.751,62.421,3.7707,Good
Electronics,Hemp Fiber Bag,Natural Fiber,Mobile Phone,Medium,12.87,91,18,88,28.82,2,86.5,2.2393,95.335,85.117,3.3952,Excellent
Automotive,Honeycomb Board,Cardboard,Fuel Injector,High,45.6,69,35,93,12.79,3,67.0,0.2805,99.416,88.204,2.6239,Excellent
Automotive,Corrugated Cardboard,Cardboard,Brake Pads,High,52.49,70,40,93,10.52,3,65.0,0.2004,99.583,87.646,2.4441,Excellent
Toys,Sbs Board,Cardboard,Board Games,Medium,16.78,65,42,87,10.43,2,61.5,0.6216,98.705,78.21,2.4362,Excellent
Food,Amber Glass Bottle,Glass,Chili Powder,High,33.38,30,55,96,58.36,3,37.5,1.7484,96.358,79.34,4.0836,Excellent
Toys,Recycled Cardboard Box,Recycled Cardboard,Puzzles,High,42.66,69,37,95,2.69,3,66.0,0.0631,99.869,88.517,1.3056,Excellent
Food,Molded Pulp,Paper,Chips,Medium,8.83,76,35,94,21.21,2,70.5,2.402,94.996,81.732,3.1005,Excellent
